station_name, lon, lat, id, 
Red MMA, -70.1001924276, -20.2904668812, 117, 
Ciudad Tocopilla, -70.20121, -22.093082, 201, 
Comuna Sierra Gorda, -69.3181407148, -22.8887241426, 204, 
Ciudad Tocopilla, -70.1886825158, -22.0855187103, 222, 
Ciudad Calama, -68.650897, -22.342264, 228, 
Ciudad Tocopilla, -70.210828, -22.111064, 230, 
Ciudad Tocopilla, -70.185945, -22.063792, 231, 
Ciudad Calama, -68.937706917, -22.4602707229, 233, 
Ciudad Calama, -68.9325463469, -22.442839063, 235, 
Ciudad Calama, -68.9280616934, -22.4621446446, 236, 
Red MMA, -70.3833156824, -23.6135421582, 237, 
Red MMA, -70.3239066784, -27.3703291549, 332, 
Red MMA, -71.2196525628, -28.4699980688, 333, 
Minera Dayton, -71.0861905807, -30.2277187688, 414, 
Andacollo, -71.0861268336, -30.2277677521, 420, 
Red MMA, -70.6293117697, -31.8892783125, 424, 
Red MMA, -71.261966366, -29.9330065187, 425, 
Red MMA, -71.3360382501, -29.9703902353, 426, 
Puerto Ventanas, -71.450827, -32.736065, 501, 
Complejo Industrial Ventanas, -71.474204, -32.748154, 503, 
Complejo Industrial Ventanas, -71.454494, -32.764139, 504, 
Complejo Industrial Ventanas, -71.407282, -32.718589, 505, 
Complejo Industrial Ventanas, -71.483371, -32.800981, 506, 
Complejo Industrial Ventanas, -71.436274, -32.807512, 507, 
ENAP Aconcagua, -71.515399, -32.924568, 509, 
ENAP Aconcagua, -71.440571, -32.929552, 511, 
ENAP Aconcagua, -71.48148, -32.915458, 512, 
Chagres, -70.898037, -32.797715, 521, 
Chagres, -70.959114, -32.779208, 522, 
Chagres, -71.006441, -32.823956, 523, 
Chagres, -70.938144, -32.776573, 524, 
Red MMA, -71.5500928429, -33.0204198174, 529, 
ENAP Aconcagua, -71.52577, -32.935167, 535, 
Complejo Industrial Ventanas, -71.527718, -32.78786, 540, 
Loncura - Quintero, -71.5330196802, -32.795151048, 547, 
-, -71.3730312769, -32.7789879022, 548, 
Red MMA, -71.4345128719, -33.0474665972, 549, 
Red MMA, -71.6141672317, -33.0497437981, 550, 
Red MMA, -70.7139192255, -34.1623146091, 609, 
Red MMA, -70.8529815423, -34.3945414179, 611, 
Red MMA, -70.9896851865, -34.5797599171, 612, 
Red MMA, -70.7371312077, -34.1438883759, 615, 
Red MMA, -71.6782614993, -35.4351418877, 703, 
Red MMA, -71.2339675123, -34.9749250775, 709, 
Red MMA, -71.619553864, -35.4357255887, 710, 
Red MMA, -71.6333964749, -35.4065827447, 711, 
Red MMA, -71.592865854, -35.8369422349, 713, 
MMA Biobío, -73.1236588652, -36.7236951418, 802, 
ENAP Biobío, -73.115657, -36.780632, 804, 
ENAP Biobío, -73.104427, -36.737202, 806, 
ENAP Biobío, -73.113708, -36.769803, 807, 
Colbun - Coronel, -73.1158053572, -36.9964309604, 809, 
MMA Biobío, -72.0892536505, -36.5948808865, 810, 
Colbun - Coronel, -73.148086, -37.008669, 815, 
Colbun - Coronel, -73.138689, -37.031702, 816, 
MMA Biobío, -73.0520630258, -36.7846537411, 827, 
MMA Biobío, -73.1495555509, -37.0211828777, 831, 
CAP - Talcahuano, -73.118693, -36.735998, 837, 
ENAP Biobío, -73.119152, -36.791231, 838, 
Nueva Aldea, -72.4799613704, -36.6591170565, 846, 
Nueva Aldea, -72.47721, -36.743905, 850, 
MMA Biobío, -73.0361323009, -36.923329603, 854, 
Endesa Coronel, -73.1557603947, -37.1006962574, 859, 
Endesa Coronel, -73.1541364986, -37.0776198097, 860, 
Endesa Coronel, -73.159774, -36.983803, 861, 
Nueva Aldea, -72.465292, -36.683859, 871, 
MMA Biobío, -72.0930405585, -36.6161677517, 873, 
MMA Biobío, -72.3614628498, -37.4711822887, 875, 
Santa Lidia - Cabrero, -72.277476, -37.023623, 876, 
Santa Lidia - Cabrero, -72.289451, -37.068142, 877, 
Red MMA, -72.6207882282, -38.748699123, 901, 
Red MMA, -72.5987956822, -38.7647674517, 902, 
Red MMA, -72.5711925509, -38.7253024448, 904, 
Red MMA, -73.1187198221, -40.584478666, A01, 
Red Chaiten, -72.7250011335, -42.9492038147, A06, 
-, -72.9687559301, -41.4795069236, A07, 
Red MMA, -72.0611259878, -45.5799644795, B03, 
Red MMA, -72.0499645058, -45.5790456672, B04, 
Red MMA, -70.9214974825, -53.1582954922, C05, 
MACAM - Metropolitana, -70.651162, -33.422301, D11, 
MACAM - Metropolitana, -70.588123962, -33.5166303623, D12, 
MACAM - Metropolitana, -70.5233267841, -33.3767735203, D13, 
MACAM - Metropolitana, -70.660797, -33.464142, D14, 
MACAM - Metropolitana, -70.7501712331, -33.4378113791, D15, 
MACAM - Metropolitana, -70.7194402798, -33.4928487895, D16, 
MACAM - Metropolitana, -70.6662041019, -33.5470996456, D17, 
MACAM - Metropolitana, -70.7321478687, -33.4330896101, D18, 
MACAM - Metropolitana, -70.594788, -33.591390623, D27, 
MACAM - Metropolitana, -70.9530647374, -33.6737520714, D28, 
MACAM - Metropolitana, -70.7237926126, -33.3496269283, D30, 
Red MMA, -73.2285128221, -39.8313161047, E03, 
Red MMA, -70.290550727, -18.4834279915, F01, 
